riskid,riskselect,risktype,riskclassification,riskprobability,riskimpact,riskscore,risktimeline,risktrigger,riskresponse,riskowner,riskdescription,riskcontingency
41,Y,Project,Team,2-Moderate,1-High,2-Moderate,5-Accept,sentiment,Mitigate,ProjectManager,Low team motivation.  Your team lacks motivation. This is a particularly common risk for long running projects.,Review resource plan.  Coaching or replace resources.
42,Y,Project,Team,2-Moderate,2-Moderate,2-Moderate,5-Accept,engagement,Mitigate,ProjectManager,Lack of commitment from functional managers.  In a matrix organization your team may report to functional managers. These functional managers are important stakeholders whose support is critical.,Update or improve the Communication Plan.  Determine functional manager influence and interest early in project
43,Y,Project,Technology,2-Moderate,2-Moderate,2-Moderate,5-Accept,spi,Avoid,AgileTeam,Architecture fails to pass governance processes.  Plan for any architectural or technology governance processes that the project may need to pass.,
44,Y,Project,Technology,1-High,3-Low,1-Highest,3-Build,spi,Accept,AgileTeam,Architecture lacks flexibility. The architecture is incapable of supporting change requests and needs to be reworked.,Rework Architecture.  Increase expert inspections and architecture reviews.
45,Y,Project,Technology,1-High,3-Low,1-Highest,5-Accept,spi,Accept,AgileTeam,Architecture is not fit for purpose.  The architecture is low quality.,Rework Architecture.  Increase expert inspections and architecture reviews.
46,Y,Project,Technology,2-Moderate,1-High,2-Moderate,5-Accept,cpi,Avoid,ProjectManager,"Architecture is infeasible.  The architecture is impossible to implement, excessively costly or does not support the requirements.",Quality Assurance Planning.  Increase expert inspections and four eyes
47,Y,Project,Requirements,2-Moderate,1-High,2-Moderate,2-Design,inspectionfailure,Avoid,AgileTeam,"Design is infeasible.  The design is not possible, is excessively costly or does not support the requirements.","Quality Assurance Planning.  TDD Test driven development, increase inspections"
48,Y,Project,Requirements,2-Moderate,1-High,2-Moderate,2-Design,inspectionfailure,Avoid,AgileTeam,Design lacks flexibility.  A poor design makes change requests difficult and costly.,"Quality Assurance Planning.  TDD Test driven development, increase inspections"
49,Y,Project,Requirements,2-Moderate,1-High,2-Moderate,1-Plan,inspectionfailure,Avoid,AgileTeam,Design is not fit for purpose. The design is low quality.,"Quality Assurance Planning.  TDD Test driven development, increase inspections"
50,Y,Project,Requirements,2-Moderate,1-High,2-Moderate,2-Design,inspectionfailure,Avoid,AgileTeam,Design fails peer review.  It is a good idea to have peers or architectural experts review your designs.,"Quality Assurance Planning.  TDD Test driven development, increase inspections"
51,Y,Project,Technology,2-Moderate,1-High,2-Moderate,5-Accept,inspectionfailure,Avoid,AgileTeam,Technology components are not fit for purpose. Technology components are low quality.,"Quality Assurance Planning.  TDD Test driven development, increase inspections"
52,Y,Operations,Technology,2-Moderate,1-High,2-Moderate,5-Accept,inspectionfailure,Avoid,AgileTeam,Technology components are not scalable.  Components that cannot be scaled to meet performance demands.,Quality Assurance Planning.  Performance planning and testing
53,Y,Project,Technology,1-High,3-Low,1-Highest,5-Accept,spi,Accept,AgileTeam,Technology components are not interoperable.  Components that lack standard interfaces.,
54,Y,Project,Technology,2-Moderate,1-High,2-Moderate,1-Plan,inspectionfailure,Accept,AgileTeam,Technology components are not compliant with standards and best practices.  Non-standard components that violate best practices.,
55,Y,Operations,Technology,2-Moderate,2-Moderate,2-Moderate,1-Plan,external,Mitigate,AgileTeam,Technology components have security vulnerabilities. Security vulnerabilities are key technology risks.,Quality Assurance Planning.  Automated scanning and inspection
56,Y,Project,Technology,1-High,1-High,3-Lowest,5-Accept,cpi,Avoid,AgileTeam,Technology components are over-engineered.  A component thats bloated with unneeded functionality and design features.,
57,Y,Operations,Technology,1-High,3-Low,1-Highest,1-Plan,inspectionfailure,Accept,AgileTeam,Technology components lack stability.  Components that crash.,"Quality Assurance Planning,  Rework architecture"
58,Y,Operations,Technology,2-Moderate,1-High,2-Moderate,5-Accept,spi,Avoid,AgileTeam,Technology components are not extensible. Components that are difficult to extend with new capabilities.,
59,Y,Operations,Technology,1-High,1-High,3-Lowest,5-Accept,inspectionfailure,Avoid,AgileTeam,Technology components are not reliable. Components that fail after a short time.,
60,Y,Project,Technology,1-High,1-High,3-Lowest,5-Accept,external,Accept,ProjectManager,Information security incidents. The risk of a a security incident during the project (e.g. information is leaked).,
61,Y,Operations,Technology,1-High,1-High,3-Lowest,1-Plan,spi,Accept,ProjectManager,System outages. Critical systems such as your test environments go down.,
62,Y,Project,Technology,2-Moderate,1-High,2-Moderate,5-Accept,spi,Accept,AgileTeam,Legacy components lack documentation. Integration with undocumented legacy components is a high risk activity.,Requirements Planning. Refactor and document legacy code and integrations 
63,Y,Operations,Technology,2-Moderate,1-High,2-Moderate,1-Plan,cpi,Accept,ProductOwner,Legacy components are out of support.  Integration with legacy components that are no longer in support.,
64,Y,Operations,Technology,1-High,3-Low,1-Highest,3-Build,roi,Accept,Operations,"Components or products are not maintainable.  Technology components, tools or platforms that are difficult to maintain (e.g. lacking documentation, rare skills, complex or experimental).",
65,Y,Operations,Technology,1-High,3-Low,1-Highest,3-Build,roi,Avoid,Operations,Components or products cannot be operationalized.  Technology operations may have criteria for operationalization of new systems that need to be met.,
66,Y,Project,Technology,1-High,1-High,3-Lowest,5-Accept,spi,Avoid,ProjectManager,Project management tool problems & issues.  Technical problems with the project management tools themselves.,
67,Y,Operations,Technology,1-High,1-High,3-Lowest,5-Accept,latestart,Accept,Operations,Delays to required infrastructure.  Delays to infrastructure such as hardware or software.,
68,Y,Operations,Technology,1-High,3-Low,1-Highest,1-Plan,external,Avoid,ProductOwner,Failure to integrate with business processes. The risk that your product will fail to fit into the existing business.,
69,Y,Operations,Technology,1-High,3-Low,1-Highest,5-Accept,external,Avoid,AgileTeam,Failure to integrate with systems. The risk that your product will fail to integrate with existing systems.,
70,Y,Operations,Technology,1-High,1-High,3-Lowest,5-Accept,latestart,Avoid,Operations,Integration testing environments are not available. The risk that environments wont be available to test integration.,
71,Y,Project,Technology,1-High,1-High,3-Lowest,3-Build,external,Avoid,ProductOwner,"Failure to integration with the organization. The risk that your project fails to integrate with the organization. This happens when the project is focused on delivering something specific and fails to look at the organization as a whole. For example, you deliver a sales system but your organization does not have a sales team.",
72,Y,Project,Technology,1-High,3-Low,1-Highest,5-Accept,spi,Avoid,ProjectManager,Failure to integrate components. The risk that product components will fail to integrate with each other. This can represent a significant risk when youve outsourced work to a large number of vendors.,
73,Y,Operations,Technology,1-High,1-High,3-Lowest,3-Build,roi,Avoid,ProjectManager,Project disrupts operations. The last thing you want is for your project to disrupt business operations and damage the firms financial results. Think about risks beyond project failure.,
74,Y,Operations,Technology,1-High,1-High,3-Lowest,3-Build,roi,Avoid,ProjectManager,Project disrupts sales. The risk that the project disrupts sales effectiveness.,
75,Y,Operations,Technology,1-High,3-Low,1-Highest,3-Build,external,Avoid,ProjectManager,Project disrupts compliance. The risk that the project disrupts compliance processes such as audits and reporting.,
76,Y,Project,Requirements,2-Moderate,1-High,2-Moderate,1-Plan,external,Avoid,ProductOwner,"Requirements fail to align with strategy. Your requirements conflict with the firms strategy. If you sense that this is the case, list it as a risk.",
77,Y,Project,Requirements,2-Moderate,1-High,2-Moderate,1-Plan,roi,Avoid,ProductOwner,Requirements fail to align with business processes. The requirements make no sense in the context of the business.,
78,Y,Project,Requirements,2-Moderate,3-Low,2-Moderate,1-Plan,roi,Avoid,ProductOwner,Requirements fail to align with systems. The requirements fail to align with other systems (e.g. they duplicate functionality).,
79,Y,Project,Requirements,2-Moderate,1-High,2-Moderate,1-Plan,external,Avoid,ProductOwner,Requirements have compliance issues. If you have any doubt that requirements comply with the law list it as a risk.,
80,Y,Project,Requirements,2-Moderate,2-Moderate,2-Moderate,5-Accept,spi,Avoid,ProductOwner,Requirements are ambiguous. Requirements are unclear and open to interpretation.,
81,Y,Project,Requirements,2-Moderate,2-Moderate,2-Moderate,5-Accept,spi,Avoid,ProductOwner,Requirements are low quality. Requirements are not fit for purpose.,
82,Y,Project,Requirements,1-High,1-High,3-Lowest,1-Plan,latestart,Avoid,ProductOwner,Requirements are incomplete.  You can spot obvious holes in the requirements.,
83,Y,Decisions,Project,2-Moderate,1-High,2-Moderate,5-Accept,latestart,Avoid,Sponsor,Decision delays impact project.  Establish guidelines for decision turnaround time. Identify the risk that guidelines will be exceeded.,Communication planning improvement 
84,Y,Decisions,Project,2-Moderate,1-High,2-Moderate,5-Accept,sentiment,Avoid,Sponsor,Decisions are ambiguous.  Stakeholders may have a tendency to make decisions that are intentionally ambiguous (a responsibility avoidance technique). This can be identified as a risk and managed.,
85,Y,Project,Project,2-Moderate,1-High,2-Moderate,5-Accept,sentiment,Avoid,Sponsor,Decisions are low quality.  Decisions are not fit for purpose.,
86,Y,Project,Project,1-High,2-Moderate,2-Moderate,5-Accept,latestart,Avoid,Sponsor,Decisions are incomplete. Issue resolutions that do not address the issue or create more issues.,
87,Y,Project,Procurement,2-Moderate,1-High,2-Moderate,1-Plan,latestart,Avoid,Sponsor,No response to RFP. The risk that there is limited response to an RFP. This occurs when the RFP terms are unacceptable to vendors or if your firm has a bad reputation amongst vendors.,
88,Y,Project,Procurement,2-Moderate,1-High,2-Moderate,1-Plan,spi,Avoid,Sponsor,Low quality responses to RFP. Half hearted responses to your RFP that are unusable.,
89,Y,Project,Procurement,2-Moderate,1-High,2-Moderate,1-Plan,latestart,Avoid,Sponsor,Failure to negotiation a reasonable price for contracts.  Inability to negotiate a reasonable price for contracts. This occurs when the requirements or contract terms make vendors nervous.,
90,Y,Project,Procurement,2-Moderate,1-High,2-Moderate,1-Plan,roi,Avoid,Sponsor,Unacceptable contract terms. Inability to negotiate acceptable contract terms.,
91,Y,Project,Procurement,2-Moderate,3-Low,2-Moderate,5-Accept,spi,Avoid,ProjectManager,Conflict with vendor leads to project issues. The relationship with vendor turns to conflict and project issues mount.,
92,Y,Project,Procurement,2-Moderate,1-High,2-Moderate,5-Accept,spi,Avoid,ProjectManager,Conflict between vendors leads to project issues.  Your vendors develop conflict with each other and cooperation breaks down.,
93,Y,Project,Procurement,2-Moderate,1-High,2-Moderate,1-Plan,latestart,Avoid,ProjectManager,Vendors start late. The risk of a late start.,
94,Y,Project,Procurement,2-Moderate,1-High,2-Moderate,5-Accept,inspectionfailure,Avoid,ProjectManager,Vendor components fail to meet requirements. A vendor misunderstands requirements or delivers components that are completely off the mark.,
95,Y,Project,Procurement,2-Moderate,1-High,2-Moderate,5-Accept,inspectionfailure,Avoid,ProjectManager,Vendor components are low quality.  Vendor components are not fit for purpose.,
96,Y,Operations,Technology,2-Moderate,1-High,2-Moderate,5-Accept,roi,Avoid,Operations,Technology too expensive or complicated,
97,Y,Operations,Procurement,2-Moderate,1-High,2-Moderate,5-Accept,spi,Avoid,Sponsor,Service quality is low.  Services you procure such as consulting are not fit for purpose.,
98,Y,Operations,Procurement,2-Moderate,1-High,2-Moderate,5-Accept,external,Avoid,Sponsor,Vendor components introduce third party liability.  Vendor components introduce liability (e.g. they violate patents).,
99,Y,Operations,Requirements,1-High,3-Low,1-Highest,5-Accept,external,Avoid,Sponsor,Loss of intellectual property.  Vendors spy on you.,
100,Y,Project,Team,2-Moderate,1-High,2-Moderate,1-Plan,latestart,Avoid,ProjectManager,Project team lack authority to complete work. If you lack specific authorities required to deliver the project list this as a risk.,"Project Planning.  Clarify roles, responsibilities using RACI chart"
101,Y,Project,Team,1-High,3-Low,1-Highest,5-Accept,spi,Avoid,ProjectManager,Authority is unclear. It is unclear who has the authority to accomplish a project objective.,"Project Planning.  Clarify roles, responsibilities using RACI chart"
102,Y,Project,Stakeholders,2-Moderate,1-High,2-Moderate,5-Accept,latestart,Avoid,Sponsor,Delays to stakeholder approvals impact the project. The risk that approval deadlines will be exceeded.,Review Communication Plan and Stakeholder management plan. 
103,Y,Project,Stakeholders,2-Moderate,2-Moderate,2-Moderate,5-Accept,latestart,Avoid,Sponsor,Delays to financial approvals impact the project.  The risk of delays to financial approvals and processes to release funds.,Review Communication Plan and Stakeholder management plan. 
104,Y,Project,Stakeholders,2-Moderate,1-High,2-Moderate,1-Plan,latestart,Avoid,ProjectManager,Delays to procurement processes impact the project.  Many organizations have specific procurement processes that must be followed. These processes can be time consuming and highly variable. Document the risk that procurement process will exceed deadlines.,"Project Planning and Communication, plan for sponsor procurement process"
105,Y,Project,Team,2-Moderate,1-High,2-Moderate,1-Plan,latestart,Avoid,ProjectManager,"Delays to recruiting processes impact the project.  If your project involves recruiting resources, this will typically take many months and is highly variable.",Resource Planning
106,Y,Project,Team,2-Moderate,1-High,2-Moderate,1-Plan,latestart,Avoid,ProjectManager,Delays to training impact the project.  If your training budget requires separate approvals (e.g. from functional managers or HR) document the risk that this will be slow.,Resource planning. 
107,Y,Project,Stakeholders,2-Moderate,1-High,2-Moderate,3-Build,sentiment,Avoid,ProductOwner,The project fails to match the organizations culture.  A culture fit issue between your product and the organization. If the organizations culture calls for employees to bring their own mobile devices to work (BYOD) and you build a user interface that only works on a specific device.,Stakeholder Management Plan
108,Y,Project,Team,2-Moderate,1-High,2-Moderate,5-Accept,engagement,Avoid,ProjectManager,An organizational restructuring throws the project into chaos.  If your project has a large footprint it may be extremely sensitive to organizational changes.,Resource Planning 
109,Y,Project,Team,2-Moderate,1-High,2-Moderate,5-Accept,external,Transfer,Sponsor,A merger or acquisition disrupts the project. Mergers & acquisitions may represent significant organizational changes.,"Resource Planning, Communication Plans"
110,Y,Project,Requirements,2-Moderate,1-High,2-Moderate,5-Accept,external,Accept,Sponsor,Legal & regulatory change impacts project.  If your project spans areas that are compliance-sensitive you may want to list regulatory change as a risk.,
111,Y,Project,Project,1-High,3-Low,1-Highest,5-Accept,external,Accept,Sponsor,Force Majeure (e.g. act of nature) impacts project.  Major disruptions such as acts of nature.,
112,Y,Project,Project,2-Moderate,1-High,2-Moderate,5-Accept,external,Avoid,ProductOwner,Market forces impact project.  Market changes impact project (e.g. a market crash).,
113,Y,Project,Technology,2-Moderate,1-High,2-Moderate,5-Accept,external,Avoid,AgileTeam,Technical change impacts project. A technology innovation changes your industry and impacts the project.,
114,Y,Project,Requirements,2-Moderate,1-High,2-Moderate,5-Accept,external,Accept,ProductOwner,Business change impacts project. A business innovation changes your industry and impacts the project.,
115,Y,Process,Project,2-Moderate,1-High,2-Moderate,5-Accept,spi,Avoid,AgileTeam,"Failure to follow methodology. If your organization asks you to streamline your project management methodology, that can be documented as a risk.",
116,Y,Process,Project,2-Moderate,2-Moderate,2-Moderate,5-Accept,spi,Avoid,ProjectManager,"Lack of management or control.  A lack of project management should be documented as a risk. For example, if resource constraints cause the project to skip certain project management best practices.",
117,Y,Process,Project,2-Moderate,2-Moderate,2-Moderate,5-Accept,spi,Avoid,ProjectManager,Errors in key project management processes Errors in project management such as schedule errors.,
118,Y,Process,Project,2-Moderate,1-High,2-Moderate,1-Plan,external,Accept,Sponsor,Counterparty risk. The risk you get back when you transfer a risk.,
119,Y,Project,Requirements,2-Moderate,3-Low,2-Moderate,5-Accept,inspectionfailure,Avoid,AgileTeam,Users reject the prototype.  One of the key methods of improving user acceptance is to get regular prototypes in front of users. There is always a risk that these prototypes will be rejected (require significant rework).,Decrease sprint cadence.  Get prototypes in front of users sooner to avoid doing work that is not what they want.
120,Y,Project,Requirements,1-High,2-Moderate,2-Moderate,5-Accept,inspectionfailure,Avoid,AgileTeam,User interface does not allow users to complete tasks The risk that the user interface does not allow users to complete end-to-end tasks.,
121,Y,Project,Technology,2-Moderate,3-Low,2-Moderate,5-Accept,inspectionfailure,Avoid,AgileTeam,"User interface is low quality. The user interface is buggy, slow or difficult to use.",
122,Y,Project,Technology,2-Moderate,1-High,2-Moderate,1-Plan,inspectionfailure,Avoid,AgileTeam,"User interface is not accessible.  In many jurisdictions, user interfaces must be accessible (e.g. employment or consumer law). Many organizational cultures require accessible user interfaces.",Review Quality Assurance Plan
123,Y,Project,Technology,2-Moderate,1-High,2-Moderate,5-Accept,roi,Avoid,ProductOwner,Project reduces business productivity.  Users identify your product(s) as reducing their productivity.,
124,Y,Project,Technology,2-Moderate,1-High,2-Moderate,5-Accept,roi,Avoid,AgileTeam,Project reduces innovation.  Users identify your product(s) as a roadblock to innovation.,
125,Y,Operations,Requirements,2-Moderate,1-High,2-Moderate,1-Plan,roi,Avoid,ProductOwner,"Product disrupts business metrics (measurements of objectives). Your product launch causes business KPIs to worsen. For example, if you launch a new ERP and Supply Chain Cycle Times jump.",
126,Y,Product,Requirements,2-Moderate,1-High,2-Moderate,5-Accept,inspectionfailure,Avoid,ProductOwner,Users reject the product. The general risk that users will reject your product.,
127,Y,Operations,Requirements,2-Moderate,1-High,2-Moderate,3-Build,roi,Avoid,ProductOwner,Product does not sell. Demand risk for the new product.,
128,Y,Project,Requirements,2-Moderate,1-High,2-Moderate,5-Accept,external,Avoid,AgileTeam,Product incurs legal liability. The product has quality issues that harm your customers.,
129,Y,Product,Requirements,2-Moderate,1-High,2-Moderate,3-Build,external,Avoid,ProductOwner,Product negatively affects brand. The product has quality issues that damage your brand.,
130,Y,Product,Requirements,2-Moderate,1-High,2-Moderate,3-Build,external,Avoid,ProductOwner,Product negatively affects reputation. The product generates negative publicity and/or damages customer relationships.,
